Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
1248,4019.6904,100.492256,0.49225616
1251,4024.9438,100.6236,0.6235962
1254,4033.826,100.84565,0.8456497
1257,4031.954,100.79885,0.798851
1260,4019.7375,100.49344,0.49343872
1263,4031.6846,100.792114,0.79211426
1266,4028.7568,100.718925,0.7189255
1269,4003.115,100.07787,0.07787323
1272,4001.4019,100.03505,0.03504944
1275,4005.7583,100.14396,0.14395905
1278,4016.9211,100.423035,0.42303467
1281,4013.3179,100.33295,0.33294678
1284,4002.189,100.054726,0.054725647
1287,4017.7893,100.44473,0.44473267
1290,4004.598,100.114944,0.11494446
1293,4007.064,100.176605,0.17660522
1296,4022.0645,100.55161,0.55161285
1299,4001.774,100.04435,0.04434967
1302,4034.9568,100.873924,0.87392426
1305,4034.2012,100.855034,0.8550339
1308,4029.074,100.72685,0.7268524
1311,4015.6316,100.39079,0.39079285
1314,4026.565,100.66412,0.66412354
1317,4031.874,100.79685,0.7968521
1320,4029.058,100.726456,0.7264557
1323,4011.95,100.29875,0.29875183
1326,4026.933,100.673325,0.6733246
1329,4026.4043,100.66011,0.6601105
1332,4035.7485,100.89371,0.8937073
1335,4008.0964,100.202415,0.20241547
1338,4015.3533,100.38383,0.3838272
1341,4021.1355,100.52839,0.528389
1344,4011.8376,100.29594,0.29593658
1347,4004.0889,100.10222,0.10221863
1350,4012.3628,100.30907,0.30906677
1353,4007.417,100.185425,0.1854248
1356,4012.0457,100.30114,0.30113983
1359,4032.8013,100.82003,0.8200302
1362,4018.9119,100.47279,0.47279358
1365,4036.9648,100.924126,0.9241257
1368,4003.4106,100.085266,0.08526611
1371,4024.3816,100.60954,0.60954285
1374,4015.3667,100.38416,0.3841629
1377,4021.833,100.54583,0.5458298
1380,4013.7947,100.344864,0.3448639
1383,4033.915,100.84788,0.8478775
1386,4034.9363,100.873405,0.87340546
1389,4028.812,100.7203,0.72029877
1392,4036.1804,100.90451,0.9045105
1395,4007.591,100.18977,0.18977356
1398,4032.9,100.8225,0.82250214
1401,4007.7363,100.193405,0.19340515
1404,4033.9688,100.84922,0.8492203
1407,4005.0396,100.12599,0.12599182
1410,4017.4722,100.436806,0.43680573
1413,4028.7505,100.718765,0.71876526
1416,4025.7002,100.64251,0.64250946
1419,4035.678,100.89195,0.8919525
1422,4011.8103,100.29526,0.29525757
1425,4009.8584,100.24646,0.24645996
1428,4036.2283,100.9057,0.9057007
1431,4021.323,100.53308,0.53308105
1434,4035.0615,100.87654,0.87654114
1437,4000.7754,100.01939,0.019386292
1440,4020.355,100.50887,0.508873
1443,4007.505,100.18762,0.18762207
1446,4018.404,100.4601,0.46009827
1449,4028.4465,100.71117,0.7111664
1452,4016.746,100.418655,0.4186554
1455,4023.1372,100.57843,0.5784302
1458,4006.903,100.17258,0.1725769
1461,4027.0996,100.67749,0.67749023
1464,4022.6548,100.56637,0.5663681
1467,4027.762,100.694046,0.694046
1470,4032.914,100.82285,0.8228531
1473,4032.6155,100.81539,0.81539154
1476,4016.6987,100.417465,0.4174652
1479,4039.8516,100.99629,0.9962921
1482,4015.4067,100.38517,0.38516998
